"country_code","indicator_code","indicator_name","year","value","unit","value_type","source"
"MMR","rev","General government revenue","2001","12.739174988417","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","2002","11.307917906345","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","2003","10.102843309489","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","2004","9.9366771744307","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","2005","11.15845184428","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","2006","12.179828872016","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","2007","12.201441503136","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","2008","11.670667408619","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","2009","10.894696974612","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","2010","10.380308880245","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","2011","10.785212903994","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","2012","17.253590489141","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","2013","22.35941292633","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","2014","23.674886175309","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","2015","19.405695721584","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","2016","18.734868315257","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","2017","16.272653576874","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","2018","15.948862125623","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","2019","15.84474711559","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","2020","14.805155646835","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","2021","18.428780728529","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","2022","18.512206810358","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","2023","16.230182642096","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","2024","15.605900809065","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
